Country,1960,2022
Iraq,7084678,44496122
Israel,2114020,9557500
Italy,50199700,58940425
Japan,93216000,125124989
Mexico,36268055,127504125
Myanmar,21720697,54179306
Nepal,10167941,30547580
New Zealand,2371800,5124100
Pakistan,45954226,235824862
Saudi Arabia,4165563,36408820
Thailand,26596584,71697030
Turkmenistan,1602052,6430770
Ukraine,42767251,38000000
United States,180671000,333287557
South Africa,16520441,59893885
